"Rank","Name","G","DB","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","RTE","TGT","REC","YDS","TD","Pa2PT","Ru2PT","2PT","FP/G","FP","PaFP","RuFP","RecFP"
"1","Kansas City Chiefs","17","723","651","435","5250","41","12","417","1970","18","3117","594","435","5250","41","2","1","3","52.4","890.5","366.0","307.0","992.5"
"2","Philadelphia Eagles","17","625","536","350","4364","25","9","544","2509","32","2547","487","350","4364","25","0","2","2","52.2","887.5","265.6","446.9","761.4"
"3","Detroit Lions","17","627","588","383","4444","29","7","480","2179","23","2612","548","383","4444","29","1","3","4","49.5","842.2","288.8","361.9","811.9"
"4","Minnesota Vikings","17","733","672","448","4818","30","15","404","1661","18","3045","619","448","4818","30","3","0","3","47.2","801.8","303.7","274.1","891.8"
"5","Dallas Cowboys","17","600","556","355","3911","28","18","531","2298","24","2547","524","355","3911","28","0","0","0","47.2","801.7","250.4","373.8","736.6"
"6","San Francisco 49ers","17","556","512","338","4049","30","9","504","2360","20","2375","485","338","4049","30","0","0","0","46.9","798.0","273.0","356.0","753.9"
"7","Buffalo Bills","16","658","574","361","4291","35","14","430","2232","15","2835","535","361","4291","35","1","1","2","49.7","795.3","299.6","315.2","821.6"
"8","Los Angeles Chargers","17","773","711","485","4791","26","10","404","1524","15","3294","653","485","4791","26","2","0","2","45.6","774.5","289.6","242.4","881.6"
"9","Jacksonville Jaguars","17","648","596","394","4148","25","9","448","2116","16","2706","558","394","4148","25","3","1","4","45.3","769.5","262.9","309.6","767.8"
"10","Cincinnati Bengals","16","681","610","418","4520","35","12","399","1528","14","2979","562","418","4520","35","3","0","3","47.5","760.6","314.8","236.8","877.0"
"11","New York Giants","17","630","520","346","3431","17","6","520","2519","21","2627","472","346","3431","17","3","0","3","44.5","756.1","205.2","377.9","624.1"
"12","Seattle Seahawks","17","652","573","399","4282","30","12","425","2042","12","2816","540","399","4282","30","0","0","0","44.4","755.0","279.3","276.2","807.7"
"13","Cleveland Browns","17","619","540","335","3710","19","12","532","2490","19","2706","486","335","3710","19","0","1","1","43.8","744.9","212.4","365.0","652.5"
"14","Green Bay Packers","17","608","563","364","3890","27","12","456","2113","12","2372","526","364","3890","27","2","0","2","42.4","720.9","255.6","283.3","737.0"
"15","Miami Dolphins","17","637","584","368","4765","30","15","390","1686","12","2711","547","368","4765","30","0","0","0","42.4","720.2","295.6","240.6","840.5"
"16","Las Vegas Raiders","17","646","586","359","4182","28","17","428","2059","12","2850","535","359","4182","28","0","0","0","42.3","719.7","262.3","277.9","765.7"
"17","Arizona Cardinals","17","750","664","433","3966","17","17","434","1873","15","3139","615","433","3966","17","3","2","5","42.0","713.4","215.6","281.3","721.1"
"18","Baltimore Ravens","17","567","488","300","3202","19","13","527","2720","14","2386","445","300","3202","19","1","1","2","41.2","701.1","193.1","358.0","586.2"
"19","Tampa Bay Buccaneers","17","777","751","499","4746","26","10","386","1308","5","3337","705","499","4746","26","2","0","2","41.1","698.1","287.8","160.8","884.1"
"20","Chicago Bears","17","505","377","223","2598","19","15","558","3014","18","1990","340","223","2598","19","1","0","1","40.5","687.8","166.9","409.4","487.3"
"21","New Orleans Saints","17","564","512","338","3969","24","14","465","1982","12","2487","472","337","3968","24","2","1","3","40.3","685.5","244.8","272.2","713.3"
"22","Atlanta Falcons","17","490","415","257","2927","17","9","559","2718","17","1899","394","257","2927","17","2","1","3","40.3","684.4","180.1","375.8","527.2"
"23","Washington Commanders","17","630","554","344","3783","24","16","538","2143","9","2697","509","344","3783","24","2","0","2","39.7","675.6","235.3","268.3","698.3"
"24","Pittsburgh Steelers","17","641","571","364","3661","12","14","500","2073","16","2788","532","364","3661","12","3","0","3","39.5","671.7","186.4","303.3","626.1"
"25","Denver Broncos","17","663","571","345","4007","18","15","444","1935","11","2886","514","345","4007","18","0","1","1","38.3","651.3","217.3","261.5","681.2"
"26","New England Patriots","17","602","540","358","3815","19","14","425","1812","12","2493","507","358","3815","19","1","0","1","38.2","648.8","216.6","253.2","676.5"
"27","Indianapolis Colts","17","686","604","398","3854","17","20","439","1866","8","3021","559","398","3854","17","0","1","1","37.5","637.8","202.2","236.6","686.4"
"28","Tennessee Titans","17","529","456","285","3227","16","11","487","2131","16","2199","418","285","3227","16","1","0","1","37.4","635.7","184.1","309.1","563.2"
"29","Carolina Panthers","17","512","457","267","3246","16","13","483","2210","16","2046","405","267","3246","16","0","1","1","37.3","633.3","180.8","319.0","554.1"
"30","New York Jets","17","688","627","357","4040","15","14","405","1686","13","2952","557","357","4040","15","0","0","0","37.2","632.7","207.6","246.6","672.5"
"31","Los Angeles Rams","17","613","531","347","3506","16","15","411","1661","15","2495","500","347","3506","16","0","0","0","36.4","618.8","189.2","256.1","620.1"
"32","Houston Texans","17","638","579","352","3642","20","19","398","1476","7","2624","528","352","3642","20","1","0","1","33.8","574.3","208.7","189.6","662.2"
